"ref.date","price.close"
2010-01-04,70045
2010-01-05,70240
2010-01-06,70729
2010-01-07,70451
2010-01-08,70263
2010-01-11,70433
2010-01-12,70076
2010-01-13,70385
2010-01-14,69801
2010-01-15,68978
2010-01-18,69401
2010-01-19,69909
2010-01-20,68200
2010-01-21,66270
2010-01-22,66220
2010-01-26,65524
2010-01-27,65070
2010-01-28,65588
2010-01-29,65402
2010-02-01,66572
2010-02-02,67163
2010-02-03,67109
2010-02-04,63934
2010-02-05,62763
2010-02-08,63153
2010-02-09,64718
2010-02-10,65051
2010-02-11,66129
2010-02-12,65855
2010-02-17,67285
2010-02-18,67836
2010-02-19,67597
2010-02-22,67184
2010-02-23,66108
2010-02-24,65795
2010-02-25,66121
2010-02-26,66503
2010-03-01,67228
2010-03-02,67779
2010-03-03,67641
2010-03-04,67815
2010-03-05,68847
2010-03-08,68575
2010-03-09,69576
2010-03-10,69979
2010-03-11,69885
2010-03-12,69341
2010-03-15,69024
2010-03-16,69942
2010-03-17,69723
2010-03-18,69697
2010-03-19,68829
2010-03-22,69042
2010-03-23,69387
2010-03-24,68913
2010-03-25,68442
2010-03-26,68683
2010-03-29,69939
2010-03-30,69960
2010-03-31,70372
2010-04-01,71136
2010-04-05,71290
2010-04-06,71096
2010-04-07,70793
2010-04-08,71785
2010-04-09,71417
2010-04-12,70614
2010-04-13,70792
2010-04-14,71035
2010-04-15,70524
2010-04-16,69421
2010-04-19,69098
2010-04-20,69318
2010-04-22,69386
2010-04-23,69509
2010-04-26,68872
2010-04-27,66511
2010-04-28,66656
2010-04-29,67978
2010-04-30,67530
2010-05-03,67119
2010-05-04,64869
2010-05-05,64914
2010-05-06,63414
2010-05-07,62871
2010-05-10,65453
2010-05-11,64425
2010-05-12,65224
2010-05-13,64788
2010-05-14,63412
2010-05-17,62866
2010-05-18,60841
2010-05-19,59689
2010-05-20,58192
2010-05-21,60259
2010-05-24,59915
2010-05-25,59184
2010-05-26,60190
2010-05-27,62092
2010-05-28,61947
2010-05-31,63047
2010-06-01,61841
2010-06-02,62943
2010-06-04,61676
2010-06-07,61183
2010-06-08,61856
2010-06-09,61479
2010-06-10,63049
2010-06-11,63605
2010-06-14,63533
