ref.date,ticker,price.adjusted
2010-01-04,ABEV3,2.736836
2010-01-05,ABEV3,2.752935
2010-01-06,ABEV3,2.781019
2010-01-07,ABEV3,2.794079
2010-01-08,ABEV3,2.788711
2010-01-11,ABEV3,2.754722
2010-01-12,ABEV3,2.772612
2010-01-13,ABEV3,2.808387
2010-01-14,ABEV3,2.848636
2010-01-15,ABEV3,2.843805
2010-01-18,ABEV3,2.844163
2010-01-19,ABEV3,2.848277
2010-01-20,ABEV3,2.785313
2010-01-21,ABEV3,2.807491
2010-01-22,ABEV3,2.844163
2010-01-26,ABEV3,2.7939
2010-01-27,ABEV3,2.764204
2010-01-28,ABEV3,2.768139
2010-01-29,ABEV3,2.683171
2010-02-01,ABEV3,2.710006
2010-02-02,ABEV3,2.776189
2010-02-03,ABEV3,2.817333
2010-02-04,ABEV3,2.701061
2010-02-05,ABEV3,2.602679
2010-02-08,ABEV3,2.575844
2010-02-09,ABEV3,2.568153
2010-02-10,ABEV3,2.584968
2010-02-11,ABEV3,2.647395
2010-02-12,ABEV3,2.632012
2010-02-17,ABEV3,2.76009
2010-02-18,ABEV3,2.741488
2010-02-19,ABEV3,2.751503
2010-02-22,ABEV3,2.73916
2010-02-23,ABEV3,2.665286
2010-02-24,ABEV3,2.661708
2010-02-25,ABEV3,2.6914
2010-02-26,ABEV3,2.667608
2010-03-01,ABEV3,2.69927
2010-03-02,ABEV3,2.683171
2010-03-03,ABEV3,2.692116
2010-03-04,ABEV3,2.665106
2010-03-05,ABEV3,2.627719
2010-03-08,ABEV3,2.642032
2010-03-09,ABEV3,2.616808
2010-03-10,ABEV3,2.638097
2010-03-11,ABEV3,2.647395
2010-03-12,ABEV3,2.62951
2010-03-15,ABEV3,2.624142
2010-03-16,ABEV3,2.631834
2010-03-17,ABEV3,2.638454
2010-03-18,ABEV3,2.643819
2010-03-19,ABEV3,2.715987
2010-03-22,ABEV3,2.725552
2010-03-23,ABEV3,2.712163
2010-03-24,ABEV3,2.691698
2010-03-25,ABEV3,2.725169
2010-03-26,ABEV3,2.715605
2010-03-29,ABEV3,2.694566
2010-03-30,ABEV3,2.720195
2010-03-31,ABEV3,2.640055
2010-04-01,ABEV3,2.644072
2010-04-05,ABEV3,2.695523
2010-04-06,ABEV3,2.676968
2010-04-07,ABEV3,2.700496
2010-04-08,ABEV3,2.687298
2010-04-09,ABEV3,2.706423
2010-04-12,ABEV3,2.725552
2010-04-13,ABEV3,2.75424
2010-04-14,ABEV3,2.777194
2010-04-15,ABEV3,2.825587
2010-04-16,ABEV3,2.79192
2010-04-19,ABEV3,2.77337
2010-04-20,ABEV3,2.77337
2010-04-22,ABEV3,2.811624
2010-04-23,ABEV3,2.865175
2010-04-26,ABEV3,2.913951
2010-04-27,ABEV3,2.782934
2010-04-28,ABEV3,2.733202
2010-04-29,ABEV3,2.791542
2010-04-30,ABEV3,2.813916
2010-05-03,ABEV3,2.738942
2010-05-04,ABEV3,2.792494
2010-05-05,ABEV3,2.811624
2010-05-06,ABEV3,2.823098
2010-05-07,ABEV3,2.849876
2010-05-10,ABEV3,2.861351
2010-05-11,ABEV3,2.869
2010-05-12,ABEV3,2.886024
2010-05-13,ABEV3,2.869
2010-05-14,ABEV3,2.849876
2010-05-17,ABEV3,2.888129
2010-05-18,ABEV3,2.849876
2010-05-19,ABEV3,2.830747
2010-05-20,ABEV3,2.762082
2010-05-21,ABEV3,2.750416
2010-05-24,ABEV3,2.828837
2010-05-25,ABEV3,2.809709
2010-05-26,ABEV3,2.677735
2010-05-27,ABEV3,2.834571
2010-05-28,ABEV3,2.847961
2010-05-31,ABEV3,2.817358
2010-06-01,ABEV3,2.840311
2010-06-02,ABEV3,2.916818
2010-06-04,ABEV3,2.945315
2010-06-07,ABEV3,2.969418
2010-06-08,ABEV3,2.945507
2010-06-09,ABEV3,2.974583
2010-06-10,ABEV3,2.985674
2010-06-11,ABEV3,2.970754
2010-06-14,ABEV3,2.983951
2010-06-15,ABEV3,3.039227
2010-06-16,ABEV3,3.060266
2010-06-17,ABEV3,3.078821
2010-06-18,ABEV3,3.075379
2010-06-21,ABEV3,3.088961
2010-06-22,ABEV3,3.14347
2010-06-23,ABEV3,3.101009
2010-06-24,ABEV3,3.041142
2010-06-25,ABEV3,3.060458
2010-06-28,ABEV3,3.153226
2010-06-29,ABEV3,3.04535
2010-06-30,ABEV3,2.98376
2010-07-01,ABEV3,2.940729
2010-07-02,ABEV3,2.960811
2010-07-05,ABEV3,2.926383
2010-07-06,ABEV3,2.996196
2010-07-07,ABEV3,3.015896
2010-07-08,ABEV3,3.062181
2010-07-12,ABEV3,3.022014
2010-07-13,ABEV3,3.0421
2010-07-14,ABEV3,3.052425
2010-07-15,ABEV3,3.06008
2010-07-16,ABEV3,3.079778
2010-07-19,ABEV3,3.128549
2010-07-20,ABEV3,3.131037
2010-07-21,ABEV3,3.098525
2010-07-22,ABEV3,3.165466
2010-07-23,ABEV3,3.117649
2010-07-26,ABEV3,3.098712
2010-07-27,ABEV3,3.111909
2010-07-28,ABEV3,3.121856
2010-07-29,ABEV3,3.11784
2010-07-30,ABEV3,3.122048
2010-08-02,ABEV3,3.139837
2010-08-03,ABEV3,3.117649
2010-08-04,ABEV3,3.105217
2010-08-05,ABEV3,3.079587
2010-08-06,ABEV3,3.05874
2010-08-09,ABEV3,3.052809
2010-08-10,ABEV3,3.038274
2010-08-11,ABEV3,3.004804
2010-08-12,ABEV3,3.024119
2010-08-13,ABEV3,3.002889
2010-08-16,ABEV3,3.070789
2010-08-17,ABEV3,3.134671
2010-08-18,ABEV3,3.136778
2010-08-19,ABEV3,3.163551
2010-08-20,ABEV3,3.16336
2010-08-23,ABEV3,3.120516
