Exemplo de arquivo .csv com formato alternativo:
- colunas separadas por ";"
- decimal como ","

Dados retirados em 2021-01-13
Origem: www.funkysite.com.br

COD.UF;COD;NOME;state;SIGLA;number_col
35;3546306;Santa Cruz das Palmeiras;São Paulo; SP;1,90208656713367
21;2103109;Cedral;Maranhão; MA;69,8087496915832
35;3514700;Echaporã;São Paulo; SP;81,5093115437776
35;3538105;Pindorama;São Paulo; SP;56,8400060990825
41;4112801;Joaquim Távora;Paraná; PR;48,0062882881612
31;3168903;Tiros;Minas Gerais; MG;16,1370117682964
31;3162005;São Gonçalo do Sapucaí;Minas Gerais; MG;8,92562319058925
21;2101202;Bacabal;Maranhão; MA;16,2682374939322
29;2913507;Iguaí;Bahia; BA;2,67284503206611
26;2606804;Igarassu;Pernambuco; PE;70,9629475604743
22;2207850;Pavussu;Piauí; PI;76,1018177028745
31;3155108;Rio do Prado;Minas Gerais; MG;85,7474779477343
51;5103361;Conquista D'oeste;Mato Grosso; MT;43,7265819869936
41;4126652;Sulina;Paraná; PR;41,7136446805671
31;3109451;Cabeceira Grande;Minas Gerais; MG;58,5649490356445
31;3124104;Esmeraldas;Minas Gerais; MG;82,4967580847442
31;3161056;São Félix de Minas;Minas Gerais; MG;79,313922743313
31;3168051;Taparuba;Minas Gerais; MG;32,6152570080012
25;2506806;Ingá;Paraíba; PB;95,7931943470612
21;2100402;Altamira do Maranhão;Maranhão; MA;65,3019609628245
33;3302858;Mesquita;Rio de Janeiro; RJ;45,8675819216296
28;2806602;Santo Amaro das Brotas;Sergipe; SE;60,6021883431822
35;3520905;Ipaussu;São Paulo; SP;28,8721936754882
51;5100409;Alto Garças;Mato Grosso; MT;71,7830843757838
42;4220000;Balneário Rincão;Santa Catarina; SC;92,339744255878
23;2304301;Farias Brito;Ceará; CE;67,4939486430958
35;3532504;Neves Paulista;São Paulo; SP;18,5939992312342
15;1508084;Tucumã;Pará; PA;34,8067162791267
17;1704600;Chapada de Areia;Tocantins; TO;12,3519531218335
51;5107198;Ribeirãozinho;Mato Grosso; MT;10,8116218820214
28;2805703;Propriá;Sergipe; SE;29,7953199828044
43;4321907;Três Passos;Rio Grande do Sul; RS;83,8199900928885
52;5221700;Uruana;Goiás; GO;99,2771093966439
21;2109403;Primeira Cruz;Maranhão; MA;43,7134409323335
52;5209101;Goiatuba;Goiás; GO;20,2564570587128
35;3542305;Redenção da Serra;São Paulo; SP;96,3871500687674
51;5106802;Porto dos Gaúchos;Mato Grosso; MT;66,0387112060562
43;4311106;Jaguari;Rio Grande do Sul; RS;29,8116829479113
26;2614709;Tacaimbó;Pernambuco; PE;11,9262185879052
15;1504604;Mocajuba;Pará; PA;59,975160122849
25;2515971;Sobrado;Paraíba; PB;12,0190552901477
35;3509007;Caieiras;São Paulo; SP;78,8432016270235
42;4219200;Vidal Ramos;Santa Catarina; SC;36,9596070842817
51;5107297;São José do Povo;Mato Grosso; MT;95,632283622399
43;4300505;Alpestre;Rio Grande do Sul; RS;91,3576655788347
42;4215687;Santa Terezinha do Progresso;Santa Catarina; SC;82,3336343513802
31;3117876;Confins;Minas Gerais; MG;31,9482155842707
43;4323309;Vila Flores;Rio Grande do Sul; RS;87,7700325800106
43;4307104;Herval;Rio Grande do Sul; RS;80,035099806264
31;3115359;Catas Altas;Minas Gerais; MG;61,1356640933082
26;2614006;Serrita;Pernambuco; PE;7,24211374763399
52;5217203;Piranhas;Goiás; GO;42,1587710268795
31;3158953;Santana do Paraíso;Minas Gerais; MG;34,4465601490811
31;3121100;delfim Moreira;Minas Gerais; MG;75,1735687023029
50;5000807;Anaurilândia;Mato Grosso do Sul; MS;21,8751319916919
35;3505203;Bariri;São Paulo; SP;29,2133972747251
29;2922201;Muniz Ferreira;Bahia; BA;35,5953365331516
43;4309902;Ibiraiaras;Rio Grande do Sul; RS;63,1961923791096
29;2919405;Licínio de Almeida;Bahia; BA;89,2531066667289
23;2304285;Eusébio;Ceará; CE;74,4032781105489
24;2406304;Lagoa de Pedras;Rio Grande do Norte; RN;45,7222422352061
11;1100189;Pimenta Bueno;Rondônia; RO;3,60954436473548
29;2912202;Ibicoara;Bahia; BA;56,851451843977
25;2514453;São José dos Ramos;Paraíba; PB;43,9015890471637
